"Raiyn, J.; Weidl, G.Predicting Autonomous Driving Behavior through Human Factor Considerations in Safety-Critical Events. Smart Cities 2024, 7, 460-474.https://doi.org/10.3390/smartcities7010018",3,Smart Cities

"Moreira da Silva, M.; Ferreira, L.; Sarmento, T.; Selada, C.Engaging Young People in the Development of Innovative Nature-Inspired Technologies for Carbon Sequestration in Cities: Case Studies from Portugal. Smart Cities 2024, 7, 445-459.https://doi.org/10.3390/smartcities7010017",3,Smart Cities

"Esfandi, S.; Tayebi, S.; Byrne, J.; Taminiau, J.; Giyahchi, G.; Alavi, S.A.Smart Cities and Urban Energy Planning: An Advanced Review of Promises and Challenges. Smart Cities 2024, 7, 414-444.https://doi.org/10.3390/smartcities7010016",3,Smart Cities

"Iten, R.; Wagner, J.; Zeier Röschmann, A.On the Adoption of Smart Home Technology in Switzerland: Results from a Survey Study Focusing on Prevention and Active Healthy Aging Aspects. Smart Cities 2024, 7, 370-413.https://doi.org/10.3390/smartcities7010015",3,Smart Cities

"Adel, A.The Convergence of Intelligent Tutoring, Robotics, and IoT in Smart Education for the Transition from Industry 4.0 to 5.0. Smart Cities 2024, 7, 325-369.https://doi.org/10.3390/smartcities7010014",3,Smart Cities

"Pronello, C.; Baratti, L.; Anbarasan, D.Benchmarking the Functional, Technical, and Business Characteristics of Automated Passenger Counting Products. Smart Cities 2024, 7, 302-324.https://doi.org/10.3390/smartcities7010013",3,Smart Cities

"Kantsepolsky, B.; Aviv, I.Sensors in Civil Engineering: From Existing Gaps to Quantum Opportunities. Smart Cities 2024, 7, 277-301.https://doi.org/10.3390/smartcities7010012",3,Smart Cities

"Chen, X.; Jiang, N.; Li, Y.; Cheng, G.; Liang, Z.; Ying, Z.; Zhang, Q.; Zhao, R.Efficient Decoder and Intermediate Domain for Semantic Segmentation in Adverse Conditions. Smart Cities 2024, 7, 254-276.https://doi.org/10.3390/smartcities7010011",3,Smart Cities

"Tsalikidis, N.; Mystakidis, A.; Koukaras, P.; Ivaškevičius, M.; Morkūnaitė, L.; Ioannidis, D.; Fokaides, P.A.; Tjortjis, C.; Tzovaras, D.Urban Traffic Congestion Prediction: A Multi-Step Approach Utilizing Sensor Data and Weather Information. Smart Cities 2024, 7, 233-253.https://doi.org/10.3390/smartcities7010010",3,Smart Cities

"Shen, Z.; Hu, R.; Wan, D.; Bock, T.Fit Islands: Designing a Multifunctional Virtual Urban Community to Promote Healthy Aging for Chinese Older Adults. Smart Cities 2024, 7, 208-232.https://doi.org/10.3390/smartcities7010009",3,Smart Cities

"Velayudhan, N.K.; S, A.; Devidas, A.R.; Ramesh, M.V.Delay and Energy Efficient Offloading Strategies for an IoT Integrated Water Distribution System in Smart Cities. Smart Cities 2024, 7, 179-207.https://doi.org/10.3390/smartcities7010008",3,Smart Cities

